E    #       LOSS TRANS...  LOSS TAGGER  LOSS PARSER  LOSS NER  TAG_ACC  DEP_UAS  DEP_LAS  SENTS_F  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  -------------  -----------  -----------  --------  -------  -------  -------  -------  ------  ------  ------  ------
  0       0        1708.71       286.12       614.55    246.38     6.56     5.82     5.82     0.20    1.85    0.97   20.83    0.05
  4     200      832024.89    320247.43    436970.05  82643.30    75.34    66.99    55.91    21.54   46.19   52.82   41.04    0.61
  9     400      223648.18     73124.93    178599.57  14306.75    96.50    82.49    77.63    77.52   75.08   78.59   71.88    0.84
 13     600      126423.04     11530.61    103182.61   7452.14    97.23    84.47    80.70    82.60   78.56   80.09   77.08    0.86
 18     800       83977.33      6311.44     68580.51   4673.57    97.45    85.62    82.22    82.94   79.05   78.32   79.79    0.87
 23    1000       53925.81      3994.83     47829.14   2631.63    97.43    85.89    82.50    83.53   79.88   78.36   81.46    0.87
 27    1200       38572.51      2668.45     36606.73   1506.98    97.54    86.62    83.28    85.97   81.65   80.82   82.50    0.88
 32    1400       41324.30      1780.02     28704.71   1177.23    97.64    86.62    83.54    85.16   81.30   81.99   80.62    0.88
 37    1600       23375.95      1265.12     23676.89    850.20    97.67    87.08    84.14    88.20   81.14   82.09   80.21    0.88
 41    1800       14798.80       896.39     20845.73    541.77    97.71    87.51    84.39    86.92   81.27   82.58   80.00    0.88
 46    2000       12530.10       710.85     19466.51    430.76    97.72    87.20    84.53    84.48   80.49   79.35   81.67    0.88
 50    2200       10434.03       548.31     18440.90    393.06    97.55    87.15    84.31    87.51   80.87   80.71   81.04    0.88
 55    2400        8807.85       459.01     17890.83    337.12    97.70    87.28    84.25    87.41   82.09   82.53   81.67    0.88
 60    2600        8012.44       413.21     17362.49    343.87    97.81    87.94    85.11    84.84   80.40   77.67   83.33    0.88
 64    2800        7530.95       377.15     17541.43    305.74    97.67    86.98    84.04    85.71   81.35   80.04   82.71    0.88
 69    3000        6931.12       339.20     16850.70    273.66    97.76    87.64    84.94    86.40   81.70   81.11   82.29    0.89
 74    3200        6329.17       347.71     16600.73    311.88    97.82    87.67    84.87    85.11   81.98   81.06   82.92    0.89
 78    3400        6440.72       323.96     16403.99    315.60    97.77    87.53    84.94    87.96   82.52   80.56   84.58    0.89
 83    3600        6241.03       328.85     16347.24    336.51    97.87    87.35    84.70    86.27   81.99   81.48   82.50    0.89
 87    3800        5900.81       298.31     16510.98    279.19    97.81    87.62    85.07    86.02   81.55   79.84   83.33    0.89
 92    4000        4719.94       327.97     16475.16    269.86    97.86    87.71    85.12    86.34   81.83   81.57   82.08    0.89
 97    4200        4354.67       301.38     16285.93    278.92    97.85    87.68    84.96    87.81   81.40   80.32   82.50    0.89
101    4400        4964.34       306.50     16333.54    311.14    97.80    87.28    84.76    85.21   81.66   79.49   83.96    0.88
106    4600        4346.64       280.59     15857.62    269.00    97.89    87.96    85.38    88.63   83.06   82.38   83.75    0.89
110    4800        4583.96       298.23     16411.20    262.15    97.82    87.56    84.88    85.86   81.66   81.24   82.08    0.89
115    5000        3640.57       279.57     16229.90    241.87    97.75    87.66    84.96    87.51   82.64   80.59   84.79    0.89
120    5200        4475.41       360.08     16386.80    260.05    97.81    87.64    85.04    87.15   80.99   80.33   81.67    0.88
124    5400        4461.70       296.22     15968.02    270.98    97.78    87.79    85.07    87.00   82.16   81.82   82.50    0.89
129    5600        4384.39       307.17     16037.95    270.80    97.92    87.85    85.28    85.99   81.64   80.40   82.92    0.89
134    5800        3409.77       286.53     16185.19    242.80    97.86    87.51    84.83    88.08   82.01   80.93   83.12    0.89
138    6000        3492.57       291.43     15662.40    258.12    97.77    87.26    84.73    87.10   83.51   82.65   84.38    0.89
143    6200        3031.94       273.49     15724.00    216.13    97.83    87.82    85.17    88.40   82.60   81.67   83.54    0.89
